curie	label	clinical_drug_form	rxcui
DRON:00046590	tacrolimus 0.001 MG/MG Topical Ointment	DRON:00027184	314266
DRON:00046591	thyroid (USP) 15 MG Oral Tablet	DRON:00023595	314267
DRON:00046592	tazarotene 0.5 MG/ML Topical Cream	DRON:00026885	314268
DRON:00046593	isopropyl unoprostone 1.5 MG/ML Ophthalmic Solution	DRON:00023730	314271
DRON:00046594	Vitamin A 5000 UNT / Vitamin D 400 UNT Oral Capsule	DRON:00024540	314276
DRON:00046595	venlafaxine 50 MG Oral Tablet	DRON:00023742	314277
DRON:00046596	zonisamide 100 MG Oral Capsule	DRON:00024026	314285
DRON:00046597	ziprasidone 20 MG Oral Capsule	DRON:00024045	314286
DRON:00046598	acetaminophen 150 MG / caffeine 30 MG / codeine 8 MG / salicylamide 230 MG Oral Tablet	DRON:00025030	314903
DRON:00046599	acetaminophen 300 MG / codeine 45 MG Oral Tablet	DRON:00020678	314905
DRON:00046600	acetaminophen 325 MG / butalbital 50 MG / codeine 60 MG Oral Capsule	DRON:00025031	314908
DRON:00046601	Acetaminophen 50 MG/ML / Dextromethorphan 1.5 MG/ML Oral Solution	DRON:00020680	314910
DRON:00046602	Acetaminophen 500 MG / Chlorpheniramine 8 MG / Phenylephrine 40 MG Extended Release Tablet	DRON:00024753	314911
DRON:00046603	Acetaminophen 4.11 MG/ML / Chlorpheniramine 0.0253 MG/ML / Dextromethorphan 0.126 MG/ML / Pseudoephedrine 0.38 MG/ML Oral Solution	DRON:00024151	314913
DRON:00046604	Acetaminophen 90 MG / aluminum acetate 325 MG / Chlorpheniramine 4 MG / Phenylpropanolamine 25 MG Oral Tablet	DRON:00024977	314914
DRON:00046605	Albumin Human, USP 1 NS Injectable Suspension	DRON:00025082	314920
DRON:00046606	Dextromethorphan 2 MG/ML / Guaifenesin 13.3 MG/ML / Pseudoephedrine 4 MG/ML Oral Solution	DRON:00024128	314923
DRON:00046607	chlorpheniramine maleate 0.8 MG/ML / ephedrine hydrochloride 1.64 MG/ML / guaifenesin 20 MG/ML / hydroiodic acid 0.334 MG/ML Oral Solution	DRON:00025037	314929
DRON:00046608	benzocaine 63 MG/ML / phenol 5 MG/ML Oral Solution	DRON:00025718	314933
DRON:00046609	povidone-iodine 5 MG/ML Mouthwash	DRON:00026099	314935
DRON:00046610	Alternaria alternata allergenic extract 50 MG/ML Injectable Solution	DRON:00033208	314941
DRON:00046611	corn allergenic extract 10000 UNT/ML Injectable Solution	DRON:00032989	314945
DRON:00046612	ALLERGENIC EXTRACT, COTTONWOOD, WESTERN 20000 UNT/ML Injectable Solution	DRON:00025529	314946
DRON:00046613	ALLERGENIC EXTRACT, FALSE RAGWEED 20000 UNT/ML Injectable Solution	DRON:00025545	314947
DRON:00046614	ALLERGENIC EXTRACT, MUCOR RACEMOSUS MOLD 10000 UNT/ML Injectable Solution	DRON:00025546	314950
DRON:00046615	ALLERGENIC EXTRACT, SHEEP SORREL 10000 UNT/ML Injectable Solution	DRON:00025547	314954
DRON:00046616	ALLERGENIC EXTRACT, SHORT RAGWEED, ALTERNARIA 40000 UNT/ML Injectable Solution	DRON:00024792	314955
DRON:00046617	ALLERGENIC EXTRACT, SYCAMORE 10000 UNT/ML Injectable Solution	DRON:00025548	314956
DRON:00046618	ALLERGENIC EXTRACT,YELLOW JACKET 20000 UNT/ML Injectable Solution	DRON:00025549	314958
DRON:00046619	amylase 20000 UNT / lipase 5000 UNT / protease 20000 UNT Delayed Release Oral Capsule	DRON:00027914	314965
DRON:00046620	Ascorbic Acid 100 MG / Chlorpheniramine 4 MG / Phenylpropanolamine 50 MG / Pyrilamine 25 MG Oral Capsule	DRON:00025072	314969
DRON:00046621	Ascorbic Acid 1000 MG / citrus bioflavonoids 25 MG Oral Tablet	DRON:00024804	314971
DRON:00046622	ascorbic acid 150 MG / ferrous fumarate 200 MG Oral Tablet	DRON:00023912	314973
DRON:00046623	ascorbic acid 150 MG / ferrous fumarate 75 MG / folic acid 1 MG / intrinsic factor 0.015 MG Extended Release Oral Capsule	DRON:00031065	314974
DRON:00046624	ascorbic acid 60 MG / ferrous fumarate 200 MG / vitamin B12 0.005 MG Extended Release Oral Capsule	DRON:00025680	314982
DRON:00046625	aspirin 200 MG / butalbital 50 MG / caffeine 40 MG / codeine 30 MG Oral Tablet	DRON:00025034	314986
DRON:00046626	aspirin 380 MG / caffeine 30 MG / codeine 30 MG Oral Tablet	DRON:00025032	314988
DRON:00046627	bacitracin 0.4 UNT/MG / diperodon 0.01 MG/MG / neomycin 0.005 MG/MG / polymyxin B 5 UNT/MG Topical Ointment	DRON:00024092	314994
DRON:00046628	benzalkonium 0.2 MG/ML / chloroxylenol 1 MG/ML / hydrocortisone 10 MG/ML Otic Solution	DRON:00024995	315002
DRON:00046629	benzocaine 25 MG/ML / clove oil 25 MG/ML Mucous Membrane Topical Solution	DRON:00027553	315003
DRON:00046630	benzocaine 0.325 MG/MG / licorice 0.812 MG/MG / menthol 0.000325 MG/MG Oral Lozenge	DRON:00024999	315004
DRON:00046631	benzthiazide 25 MG Oral Tablet	DRON:00020928	315005
DRON:00046632	gonadorelin 0.25 MG/ML Injectable Solution	DRON:00025503	315006
DRON:00046633	boric acid 0.05 MG/MG Topical Ointment	DRON:00023892	315008
DRON:00046634	boron 6 MG Oral Tablet	DRON:00024246	315009
DRON:00046635	butabarbital 30 MG / phenobarbital 30 MG / secobarbital 30 MG Oral Capsule	DRON:00025007	315011
DRON:00046636	Calcium Carbonate 200 MG / Nux Vomica extract 8 MG / Phenobarbital 15 MG Oral Tablet	DRON:00025008	315013
DRON:00046637	calcium carbonate 261 MG / pectin 65 MG Oral Tablet	DRON:00022848	315014
DRON:00046638	Calcium Carbonate 600 MG / Vitamin D 125 UNT Oral Tablet	DRON:00023895	315015
DRON:00046639	carbenicillin 714 MG/ML Injectable Solution	DRON:00021127	315021
DRON:00046640	cefoperazone 20 MG/ML Injectable Solution	DRON:00025594	315023
DRON:00046641	chloramphenicol 0.01 MG/MG / hydrocortisone 0.005 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment	DRON:00024089	315028
DRON:00046642	chloride hexahydrate 0.1 MG/MG Toothpaste	DRON:00025325	315029
DRON:00046643	chlorobutanol 5 MG/ML / posterior pituitary hormones 20 UNT/ML Injectable Solution	DRON:00024916	315030
DRON:00046644	chlorphenesin 400 MG Oral Tablet	DRON:00021256	315032
DRON:00046645	Chlorpheniramine 4 MG / Guaifenesin 300 MG / Phenylephrine 20 MG Extended Release Tablet	DRON:00025038	315036
DRON:00046646	Chlorpheniramine 4 MG / Phenylephrine 20 MG / phenyltoloxamine 40 MG Oral Tablet	DRON:00024201	315037
DRON:00046647	chlorpheniramine tannate 8 MG Extended Release Oral Tablet	DRON:00021281	315038
DRON:00046648	chymotrypsin 4000 UNT Delayed Release Oral Tablet	DRON:00024771	315045
DRON:00046649	Cisplatin 0.5 MG/ML Injectable Solution	DRON:00025299	315046
DRON:00046650	clozapine 600 MG Oral Tablet	DRON:00021414	315047
DRON:00046651	codeine 2 MG/ML / guaifenesin 20 MG/ML / phenylephrine 1 MG/ML Oral Solution	DRON:00025020	315048
DRON:00046652	iron,peptonized 20 MG/ML / liver extract 0.01 MG/ML / vitamin B12 0.5 MG/ML Injectable Solution	DRON:00025702	315056
DRON:00046653	desoximetasone 0.0005 MG/MG Topical Gel	DRON:00027634	315059
DRON:00046654	desoxycorticosterone 5 MG/ML Injectable Solution	DRON:00027594	315060
DRON:00046655	dexamethasone 20 MG/ML Injectable Solution	DRON:00021518	315061
DRON:00046656	DEXTRAN HM 320 MG/ML Injectable Solution	DRON:00021538	315062
DRON:00046657	Dextromethorphan 3 MG/ML / Guaifenesin 20 MG/ML / Phenylephrine 2 MG/ML Oral Solution	DRON:00024597	315064
DRON:00046658	ofloxacin 4 MG/ML Injectable Solution	DRON:00025762	315065
DRON:00046659	piperacillin 20 MG/ML Injectable Solution	DRON:00023041	315066
DRON:00046660	diethylstilbestrol 1 MG Delayed Release Oral Tablet	DRON:00021605	315077
DRON:00046661	dihydrotachysterol 0.2 MG/ML Oral Solution	DRON:00021623	315078
DRON:00046662	emetine 65 MG/ML Injectable Solution	DRON:00021751	315085
DRON:00046663	ephedrine 24 MG / guaifenesin 100 MG / phenobarbital 8 MG / theophylline 130 MG Oral Tablet	DRON:00025048	315086
DRON:00046664	Epinephrine 7 MG/ML Inhalant Solution	DRON:00025878	315087
DRON:00046665	erythromycin 333 MG Delayed Release Oral Tablet	DRON:00021803	315090
DRON:00046666	estrogens 2 MG/ML Injectable Solution	DRON:00024847	315093
DRON:00046667	estrogens, conjugated (USP) 0.5 MG/ML / estrone 1.5 MG/ML Injectable Suspension	DRON:00027054	315094
DRON:00046668	ethinyl estradiol 0.05 MG / ethynodiol diacetate 1 MG Oral Tablet	DRON:00021855	315096
DRON:00046669	ethyl chloride 1 ML/ML Topical Spray	DRON:00025935	315097
DRON:00046670	ethynodiol 1 MG / mestranol 0.1 MG Oral Tablet	DRON:00021856	315098
DRON:00046671	ferrous sulfate 2.5 MG/ML Oral Solution	DRON:00021918	315099
DRON:00046672	sodium fluoride 1.1 MG/ML Oral Solution	DRON:00023412	315102
DRON:00046673	formaldehyde 10 MG/ML / isopropyl alcohol 8.7 ML/ML Topical Solution	DRON:00025719	315104
DRON:00046674	gallamine 20 MG/ML Injectable Solution	DRON:00024367	315105
DRON:00046675	gemfibrozil 300 MG Oral Capsule	DRON:00022006	315106
DRON:00046676	24 HR glipizide 10 MG Extended Release Oral Tablet	DRON:00031483	315107
DRON:00046677	guaifenesin 200 MG / phenylephrine 10 MG Extended Release Oral Capsule	DRON:00022974	315109
DRON:00046678	guaifenesin 200 MG / phenylpropanolamine 75 MG Extended Release Oral Tablet	DRON:00023005	315110
DRON:00046679	guaifenesin 200 MG / theophylline 250 MG Oral Tablet	DRON:00023560	315111
DRON:00046680	guaifenesin 250 MG / pseudoephedrine hydrochloride 90 MG Extended Release Oral Capsule	DRON:00023229	315112
DRON:00046681	Guaifenesin 300 MG / Pseudoephedrine 60 MG Extended Release Capsule	DRON:00023229	315114
DRON:00046682	hydrochloric acid 280 MG/ML Topical Solution	DRON:00024866	315116
DRON:00046683	Hydrocodone 5 MG / phenyltoloxamine 10 MG Oral Tablet	DRON:00023010	315119
DRON:00046684	hydrocortisone 5 MG/ML / sulfur 5 MG/ML / zinc oxide 200 MG/ML Topical Cream	DRON:00026261	315120
DRON:00046685	iophendylate 1000 MG/ML Injectable Solution	DRON:00025457	315128
DRON:00046686	iotrolan 190 MG/ML Injectable Solution	DRON:00025458	315131
DRON:00046687	isopropamide 6.8 MG / prochlorperazine 10 MG Oral Capsule	DRON:00024876	315132
DRON:00046688	ornithine, (L)-isomer 500 MG Oral Tablet	DRON:00024879	315133
DRON:00046689	levocarnitine 100 MG/ML Oral Solution	DRON:00022250	315134
DRON:00046690	levocarnitine 500 MG Oral Tablet	DRON:00022251	315135
DRON:00046691	liver extract 0.002 MG/ML Injectable Solution	DRON:00022282	315136
DRON:00046692	menthol 6.1 MG Oral Lozenge	DRON:00023955	315140
DRON:00046693	menthol 0.08 MG/MG / methyl salicylate 0.3 MG/MG Topical Ointment	DRON:00025371	315141
DRON:00046694	mercury, ammoniated 0.1 MG/MG Topical Ointment	DRON:00027014	315143
DRON:00046695	mesoridazine 25 MG/ML Injectable Solution	DRON:00022428	315144
DRON:00046696	mestranol 0.08 MG / norethindrone 1 MG Oral Tablet	DRON:00022726	315145
DRON:00046697	mestranol 0.1 MG / norethynodrel 2.5 MG Oral Tablet	DRON:00022730	315146
DRON:00046698	methandrostenolone 5 MG Oral Tablet	DRON:00022445	315147
DRON:00046699	methotrexate 2.5 MG/ML Injectable Solution	DRON:00022468	315148
DRON:00046700	methylmethacrylate 1000 MG/ML Topical Solution	DRON:00025277	315149
DRON:00046701	nandrolone 25 MG/ML Injectable Solution	DRON:00023837	315155
DRON:00046702	neomycin 3.5 MG/ML / polymyxin B 16250 UNT/ML Ophthalmic Solution	DRON:00024440	315156
DRON:00046703	niacin 50 MG / pentaerythritol tetranitrate 100 MG Oral Tablet	DRON:00031157	315157
DRON:00046704	nitrofurazone 0.002 MG/MG Topical Powder	DRON:00025378	315158
DRON:00046705	nitrogen 72 % / oxygen 21 % Gas for Inhalation	DRON:00020436	315159
DRON:00046706	nitroglycerin 0.8 MG/ML Injectable Solution	DRON:00025761	315160
DRON:00046707	oat bran 800 MG Chewable Tablet	DRON:00024449	315161
DRON:00046708	oxytocin 40 UNT/ML Nasal Spray	DRON:00024904	315163
DRON:00046709	pemoline 37.5 MG Chewable Tablet	DRON:00022853	315164
DRON:00046710	pentobarbital sodium 100 MG Oral Capsule	DRON:00022881	315167
DRON:00046711	perphenazine 2 MG Extended Release Oral Tablet	DRON:00024907	315169
DRON:00046712	phenazopyridine 100 MG Delayed Release Oral Tablet	DRON:00024908	315170
DRON:00046713	phenobarbital 32 MG Oral Capsule	DRON:00022914	315172
DRON:00046714	yellow phenolphthalein 97.2 MG Chewing Gum	DRON:00024912	315175
DRON:00046715	piperacillin 40 MG/ML Injectable Solution	DRON:00023041	315178
DRON:00046716	potassium chloride 0.03 MEQ/ML Injectable Solution	DRON:00020351	315181
DRON:00046717	Potassium Chloride 3.2 MEQ/ML Injectable Solution	DRON:00020351	315182
DRON:00046718	potassium chloride 8 MEQ Extended Release Oral Capsule	DRON:00023086	315183
DRON:00046719	potassium gluconate 2.2 MEQ Oral Tablet	DRON:00023098	315184
DRON:00046720	potassium gluconate 2.6 MEQ Oral Tablet	DRON:00023098	315185
DRON:00046721	povidone-iodine 0.1 MG/MG Vaginal Insert	DRON:00023924	315186
DRON:00046722	prednisone 1 MG/ML Oral Solution	DRON:00023140	315187
DRON:00046723	progesterone 25 MG/ML Injectable Solution	DRON:00023852	315188
DRON:00046724	Peptide Hydrolases 20000 UNT Oral Tablet	DRON:00026825	315190
DRON:00046725	Psyllium 320 MG/ML / Sucrose 680 MG/ML Oral Solution	DRON:00026337	315192
DRON:00046726	quinethazone 50 MG / reserpine 0.125 MG Oral Tablet	DRON:00023294	315193
DRON:00046727	quinine 65 MG / vitamin E 400 UNT Oral Capsule	DRON:00025460	315195
DRON:00046728	reserpine 1 MG Oral Tablet	DRON:00023297	315197
DRON:00046729	salicylic acid 0.6 MG/MG Topical Ointment	DRON:00023899	315198
DRON:00046730	sargramostim 0.25 MG/ML Injectable Solution	DRON:00024713	315199
DRON:00046731	scopolamine 0.86 MG/ML Injectable Solution	DRON:00023351	315200
DRON:00046732	secobarbital 50 MG Oral Capsule	DRON:00023358	315201
DRON:00046733	selenious acid 0.05 MG/ML Injectable Solution	DRON:00025842	315203
DRON:00046734	mild silver protein 100 MG/ML Ophthalmic Solution	DRON:00023384	315207
DRON:00046735	tobramycin 0.6 MG/ML Injectable Solution	DRON:00023613	315208
DRON:00046736	100 ML tobramycin 0.8 MG/ML Injection	DRON:00023613	315209
DRON:00046737	sodium chloride 1000 MG Delayed Release Oral Tablet	DRON:00024931	315211
DRON:00046738	sodium fluoride 2.2 MG Chewable Tablet	DRON:00023409	315213
DRON:00046739	sodium fluoride 2.25 MG/ML Oral Solution	DRON:00023412	315214
DRON:00046740	somatrem 5 MG/ML Injectable Solution	DRON:00025600	315216
DRON:00046741	stavudine 1 MG/ML Oral Solution	DRON:00027846	315217
DRON:00046742	streptomycin 500 MG/ML Injectable Solution	DRON:00023450	315218
DRON:00046743	sulfisoxazole 200 MG/ML Oral Suspension	DRON:00023484	315219
DRON:00046744	sulfur 100 MG/ML Topical Cream	DRON:00026354	315220
DRON:00046745	sulindac 200 MG Delayed Release Oral Tablet	DRON:00024934	315222
DRON:00046746	sumatriptan 25 MG Oral Tablet	DRON:00023497	315223
DRON:00046747	Tetracaine 5 MG/ML Topical Solution	DRON:00023539	315227
DRON:00046748	thioridazine 10 MG Delayed Release Oral Tablet	DRON:00024937	315231
DRON:00046749	thyroid (USP) 130 MG Oral Capsule	DRON:00024035	315233
DRON:00046750	thyroid (USP) 195 MG Oral Tablet	DRON:00023595	315234
DRON:00046751	thyroid (USP) 300 MG Oral Tablet	DRON:00023595	315235
DRON:00046752	thyroid (USP) 65 MG Oral Capsule	DRON:00024035	315236
DRON:00046753	dl-alpha tocopheryl acetate 200 MG/ML Injectable Solution	DRON:00030284	315238
DRON:00046754	tolbutamide 50 MG/ML Injectable Solution	DRON:00025605	315239
DRON:00046755	Tripelennamine 20 MG/ML Topical Cream	DRON:00026367	315241
DRON:00046756	urea 600 MG/ML Injectable Solution	DRON:00025603	315243
DRON:00046757	mercuric oxide 0.01 MG/MG Ophthalmic Ointment	DRON:00023954	317011
DRON:00046758	methenamine mandelate 500 MG Delayed Release Oral Tablet	DRON:00022453	317012
DRON:00046759	sodium fluoride 0.2 MG/ML Oral Solution	DRON:00023412	317014
DRON:00046760	aluminum hydroxide 200 MG / magnesium hydroxide 200 MG / simethicone 20 MG Chewable Tablet	DRON:00024142	317055
DRON:00046761	aluminum chloride 0.1 MG/MG Paste	DRON:00025489	317058
DRON:00046762	oxyquinoline sulfate 1 MG/ML / tetracaine 2.5 MG/ML Topical Solution	DRON:00032376	317059
DRON:00046763	Acetaminophen 25 MG/ML / Dextromethorphan 1 MG/ML / Guaifenesin 10 MG/ML / Pseudoephedrine 3 MG/ML Oral Solution	DRON:00024181	317060
DRON:00046764	ceftizoxime 286 MG/ML Injectable Solution	DRON:00025617	317075
DRON:00046765	chlordiazepoxide 10 MG / estrogens, esterified (USP) 0.4 MG Oral Tablet	DRON:00027007	317077
DRON:00046766	coal tar 0.02 MG/MG Topical Ointment	DRON:00023970	317080
DRON:00046767	chlorpheniramine 0.6 MG/ML / pyrilamine 4.4 MG/ML Topical Lotion	DRON:00030417	317084
DRON:00046768	entacapone 200 MG Oral Tablet	DRON:00024017	317094
DRON:00046769	glutaral 20 MG/ML Topical Solution	DRON:00022033	317102
DRON:00046770	glycerin 500 MG/ML Injectable Solution	DRON:00022038	317104
DRON:00046771	hydroxocobalamin 1 MG/ML Injectable Solution	DRON:00022117	317106
DRON:00046772	24 HR isosorbide mononitrate 30 MG Extended Release Oral Tablet	DRON:00031139	317110
DRON:00046773	loxapine 25 MG/ML Oral Solution	DRON:00022311	317119
DRON:00046774	magnesium oxide 600 MG / vitamin B6 25 MG Oral Tablet	DRON:00024417	317120
DRON:00046775	Magnesium Sulfate 4 MEQ/ML Injectable Solution	DRON:00022351	317121
DRON:00046776	minocycline 100 MG Injection	DRON:00025466	317127
DRON:00046777	misoprostol 0.2 MG Oral Tablet	DRON:00022568	317128
DRON:00046778	10 ML mivacurium 2 MG/ML Injection	DRON:00024677	317130
DRON:00046779	niacinamide 100 MG/ML Injectable Solution	DRON:00022671	317135
DRON:00046780	nortriptyline 25 MG Oral Capsule	DRON:00022737	317136
DRON:00046781	novobiocin 250 MG Oral Capsule	DRON:00022742	317137
DRON:00046782	Oxytocin 0.01 UNT/ML Injectable Solution	DRON:00020332	317139
DRON:00046783	piperonyl butoxide 20 MG/ML / pyrethrins 3 MG/ML Topical Solution	DRON:00023242	317143
DRON:00046784	povidone-iodine 10 MG/ML Topical Solution	DRON:00023923	317145
DRON:00046785	povidone-iodine 50 MG/ML Topical Cream	DRON:00026333	317146
DRON:00046786	ritonavir 100 MG Oral Capsule	DRON:00023321	317150
DRON:00046787	salicylic acid 20 MG/ML Topical Cream	DRON:00026341	317152
DRON:00046788	salicylic acid 15 MG/ML / sulfur 20 MG/ML Topical Solution	DRON:00023339	317153
DRON:00046789	silicones 0.3 MG/MG / starch 0.1 MG/MG Topical Ointment	DRON:00025507	317154
DRON:00046790	sodium fluoride 1 MG Oral Lozenge	DRON:00023410	317156
DRON:00046791	temozolomide 100 MG Oral Capsule	DRON:00024011	317160
DRON:00046792	tetracaine 20 MG/ML Topical Solution	DRON:00023539	317161
DRON:00046793	benzyl alcohol 0.05 ML/ML Injectable Solution	DRON:00025570	317168
DRON:00046794	methylparaben 1 MG/ML / propylparaben 0.25 MG/ML Injectable Solution	DRON:00025592	317169
DRON:00046795	captopril 25 MG Oral Tablet	DRON:00021117	317173
DRON:00046796	quetiapine 200 MG Oral Tablet	DRON:00024042	317174
DRON:00046797	orphenadrine 15 MG/ML Injectable Solution	DRON:00022768	317282
DRON:00046798	hydrocortisone 10 MG/ML Topical Spray	DRON:00025900	317564
DRON:00046799	Lidocaine 20 MG/ML Injectable Solution	DRON:00022265	317567
DRON:00046800	oxytetracycline 250 MG Oral Capsule	DRON:00022816	317570
DRON:00046801	pioglitazone 15 MG Oral Tablet	DRON:00024008	317573
DRON:00046802	lorazepam 1 MG Sublingual Tablet	DRON:00022304	317703
DRON:00046803	lorazepam 2 MG Sublingual Tablet	DRON:00022304	317704
DRON:00046804	theophylline 300 MG Extended Release Oral Tablet	DRON:00023561	317769
DRON:00046805	lorazepam 0.5 MG Sublingual Tablet	DRON:00022304	317775
DRON:00046806	lente insulin, pork 100 UNT/ML Injectable Suspension	DRON:00027075	317800
DRON:00046807	aluminum acetate 100 MG/ML / zinc oxide 850 MG/ML Paste	DRON:00024948	317805
DRON:00046808	OspA protein 0.06 MG/ML Injectable Suspension	DRON:00026939	317809
DRON:00046809	theophylline 130 MG Extended Release Oral Capsule	DRON:00023556	317831
DRON:00046810	belladonna alkaloids 0.13 MG / phenobarbital 15 MG Oral Tablet	DRON:00024809	317848
DRON:00046811	belladonna alkaloids 0.126 MG / phenobarbital 15 MG Oral Tablet	DRON:00024809	317849
DRON:00046812	belladonna alkaloids 0.27 MG/ML Topical Solution	DRON:00025970	317853
DRON:00046813	belladonna extract, USP 15 MG / phenobarbital 15 MG Oral Tablet	DRON:00022910	317855
DRON:00046814	amylase 20000 UNT / lipase 4000 UNT / protease 25000 UNT Oral Capsule	DRON:00030442	317859
DRON:00046815	calcium carbonate 5 MG / magnesium hydroxide 5 MG / phenobarbital 8 MG Oral Tablet	DRON:00025009	317862
DRON:00046816	calcium carbonate 400 MG Chewable Tablet	DRON:00021073	317865
DRON:00046817	theophylline 250 MG Extended Release Oral Capsule	DRON:00023556	317869
DRON:00046818	Asafetida extract 60 MG / Capsicum extract 7.5 MG / Cascara sagrada 60 MG / Ginger extract 22.5 MG / Nux Vomica extract 15 MG Oral Tablet	DRON:00027088	317904
DRON:00046819	calcium carbonate 500 MG Oral Tablet	DRON:00021076	318076
DRON:00046820	Deoxycorticosterone 125 MG Pellet	DRON:00027593	318126
DRON:00046821	salmeterol 0.05 MG/ACTUAT Inhalant Powder	DRON:00024506	318142
DRON:00046822	fructose 374 MG/ML / glucose 374 MG/ML / phosphoric acid 4.3 MG/ML Oral Solution	DRON:00025703	318146
DRON:00046823	dihydroergocornine 0.167 MG / dihydroergocristine 0.167 MG / dihydroergocryptine 0.167 MG Sublingual Tablet	DRON:00025461	318178
DRON:00046824	ergoloid mesylates, USP 1 MG Oral Tablet	DRON:00021787	318179
DRON:00046825	Chlorpheniramine 2 MG / Guaifenesin 100 MG / Pseudoephedrine 32.4 MG Oral Capsule	DRON:00024166	318193
DRON:00046826	erythromycin 20 MG/ML Topical Solution	DRON:00021810	318202
DRON:00046827	Sodium Phosphate, Dibasic 142 MG/ML / Sodium Phosphate, Monobasic 276 MG/ML Injectable Solution	DRON:00025840	318209
DRON:00046828	potassium gluconate 6.66 MEQ Oral Tablet	DRON:00023098	318211
DRON:00046829	sodium salicylate 650 MG Delayed Release Oral Tablet	DRON:00024513	318212
DRON:00046830	sodium salicylate 325 MG Delayed Release Oral Tablet	DRON:00024513	318213
DRON:00046831	sulfadiazine 167 MG / sulfamerazine 167 MG / sulfamethazine 167 MG Oral Tablet	DRON:00024614	318217
DRON:00046832	sulfadiazine 33.4 MG/ML / sulfamerazine 33.4 MG/ML / sulfamethazine 33.4 MG/ML Oral Suspension	DRON:00025462	318218
DRON:00046833	testosterone 75 MG Drug Implant	DRON:00026965	318240
DRON:00046834	tetanus toxoid vaccine, inactivated 2 UNT/ML Injectable Solution	DRON:00023535	318241
DRON:00046835	tetanus toxoid vaccine, inactivated 8 UNT/ML Injectable Solution	DRON:00023535	318242
DRON:00046836	tetanus toxoid vaccine, inactivated 0.5 ML Injectable Solution	DRON:00023535	318243
DRON:00046837	phenylephrine 1 MG/ML / pyrilamine 1.2 MG/ML Ophthalmic Solution	DRON:00022980	318270
DRON:00046838	aspirin 81 MG Chewable Tablet	DRON:00020559	318272
DRON:00046839	cyclosporine 100 MG Oral Capsule	DRON:00021467	328160
DRON:00046840	methylprednisolone 16 MG Oral Tablet	DRON:00022499	328161
DRON:00046841	sodium fluoride 0.55 MG Oral Tablet	DRON:00023413	328162
DRON:00046842	thiopental 400 MG/ML Enema	DRON:00025396	328163
DRON:00046843	bismuth subsalicylate 300 MG Oral Tablet	DRON:00020991	328164
DRON:00046844	calcium carbonate 625 MG Chewable Tablet	DRON:00021073	328169
DRON:00046845	yellow phenolphthalein 80 MG Chewable Tablet	DRON:00022925	328174
DRON:00046846	dimenhydrinate 15 MG Oral Tablet	DRON:00021636	328175
DRON:00046847	primidone 125 MG Oral Tablet	DRON:00020451	328176
DRON:00046848	ascorbic acid 600 MG Oral Tablet	DRON:00020551	328177
DRON:00046849	carbinoxamine 2.5 MG / Pseudoephedrine 60 MG Oral Tablet	DRON:00021135	328178
DRON:00046850	calcium ascorbate 250 MG Oral Tablet	DRON:00027568	328179
DRON:00046851	aluminum hydroxide 250 MG / magnesium trisilicate 500 MG Oral Tablet	DRON:00020752	328180
DRON:00046852	aspirin 500 MG Chewable Tablet	DRON:00020559	332609
DRON:00046853	indomethacin 100 MG Oral Capsule	DRON:00020626	333823
DRON:00046854	attapulgite 300 MG Oral Tablet	DRON:00020572	333828
DRON:00046855	attapulgite 600 MG Oral Tablet	DRON:00020572	333829
DRON:00046856	calcium gluconate 486 MG Chewable Tablet	DRON:00021093	333830
DRON:00046857	ascorbic acid 1000 MG Chewable Tablet	DRON:00020549	333831
DRON:00046858	albendazole 200 MG Chewable Tablet	DRON:00020705	333832
DRON:00046859	dipyridamole 150 MG Extended Release Oral Tablet	DRON:00024341	333833
DRON:00046860	aspirin 60 MG Chewable Tablet	DRON:00020559	333834
DRON:00046861	calcium gluconate 300 MG Chewable Tablet	DRON:00021093	333835
DRON:00046862	vitamin B12 0.003 MG Chewable Tablet	DRON:00021450	333836
DRON:00046863	aspirin 100 MG Chewable Tablet	DRON:00020559	333837
DRON:00046864	acetaminophen 120 MG Chewable Tablet	DRON:00020470	333838
DRON:00046865	cimetidine 200 MG Chewable Tablet	DRON:00021333	333839
DRON:00046866	calcium carbonate 667 MG Chewable Tablet	DRON:00021073	333840
DRON:00046867	cisapride 10 MG / simethicone 200 MG Oral Tablet	DRON:00021353	333841
DRON:00046868	ketorolac 10 MG Sublingual Tablet	DRON:00022215	333846
DRON:00046869	calcium gluconate 1000 MG Chewable Tablet	DRON:00021093	333847
DRON:00046870	phenolphthalein 60 MG Chewable Tablet	DRON:00022919	337028
DRON:00046871	phenolphthalein 97.2 MG Chewable Tablet	DRON:00022919	337029
DRON:00046872	sodium phosphate 500 MG Oral Tablet	DRON:00024722	337032
DRON:00046873	zinc gluconate 10 MG Chewable Tablet	DRON:00023788	337039
DRON:00046874	dextran 75 60 MG/ML Injectable Solution	DRON:00025770	340275
DRON:00046875	tetracaine 0.005 MG/MG Ophthalmic Ointment	DRON:00023857	340276
DRON:00046876	Hydrocortisone 15 MG/ML / Neomycin 5 MG/ML Ophthalmic Solution	DRON:00025272	340280
DRON:00046877	Cefoxitin 40 MG/ML Injectable Solution	DRON:00025439	342904
DRON:00046878	ceftizoxime 280 MG/ML Injectable Solution	DRON:00025617	342957
DRON:00046879	ceftizoxime 20 MG/ML Injectable Solution	DRON:00025617	342958
