curie	label	clinical_drug	rxcui
DRON:00070533	mefenamic acid 500 MG Oral Tablet [Contraflam]	DRON:00057595	151225
DRON:00070534	topiramate 50 MG Oral Tablet [Topamax]	DRON:00035215	151227
DRON:00070535	topiramate 100 MG Oral Tablet [Topamax]	DRON:00037037	151228
DRON:00070536	topiramate 200 MG Oral Tablet [Topamax]	DRON:00037038	151229
DRON:00070537	nafronyl 100 MG Oral Capsule [Stimlor]	DRON:00039579	151235
DRON:00070538	84 HR Estradiol 0.00167 MG/HR Transdermal Patch [Fematrix 40]	DRON:00041836	151236
DRON:00070539	erythromycin 250 MG Delayed Release Oral Capsule [Tiloryth brand of erythromycin]	DRON:00044830	151239
DRON:00070540	diltiazem hydrochloride 60 MG Extended Release Oral Capsule [Kentiazem]	DRON:00057673	151240
DRON:00070541	loperamide hydrochloride 2 MG Oral Tablet [Norimode]	DRON:00061788	151243
DRON:00070542	12 HR nifedipine 10 MG Extended Release Oral Tablet [Adipine MR 10]	DRON:00040672	151244
DRON:00070543	fosfestrol 60 MG/ML Injectable Solution [Honvan]	DRON:00035216	151246
DRON:00070544	olsalazine sodium 500 MG Oral Tablet [Dipentum]	DRON:00061365	151248
DRON:00070545	tacalcitol 0.000004 MG/MG Topical Ointment [Curatoderm]	DRON:00041584	151250
DRON:00070546	168 HR Estradiol 0.00208 MG/HR Transdermal Patch [FemSeven 50]	DRON:00037935	151251
DRON:00070547	selegiline hydrochloride 5 MG Oral Tablet [Vivapryl]	DRON:00059123	151256
DRON:00070548	selegiline hydrochloride 10 MG Oral Tablet [Vivapryl]	DRON:00059520	151257
DRON:00070549	Cladribine 1 MG/ML Injectable Solution [Leustat]	DRON:00038180	151258
DRON:00070550	fluoxetine 60 MG Oral Capsule [Prozac]	DRON:00035217	151261
DRON:00070551	lansoprazole 15 MG Disintegrating Oral Tablet [Zoton]	DRON:00047450	151263
DRON:00070552	Isosorbide Mononitrate 60 MG Extended Release Capsule [Monomax SR]	DRON:00040783	151267
DRON:00070553	estradiol 2 MG Oral Tablet [Elleste-Solo]	DRON:00035521	151269
DRON:00070554	interferon beta-1b 8000000 UNT/ML Injectable Solution [Betaferon]	DRON:00053849	151270
DRON:00070555	estradiol 1 MG Oral Tablet [Elleste-Solo]	DRON:00035520	151271
DRON:00070556	selegiline hydrochloride 5 MG Oral Tablet [Stilline]	DRON:00059123	151281
DRON:00070557	selegiline hydrochloride 10 MG Oral Tablet [Stilline]	DRON:00059520	151282
DRON:00070558	docetaxel 40 MG/ML Injectable Solution [Taxotere]	DRON:00046449	151284
DRON:00070559	nystatin 100000 UNT/ML Oral Suspension [Nystamont]	DRON:00045603	151285
DRON:00070560	cisatracurium 5 MG/ML Injectable Solution [Nimbex Forte]	DRON:00040881	151286
DRON:00070561	168 HR Estradiol 0.00208 MG/HR Transdermal Patch [Progynova TS 50]	DRON:00037935	151288
DRON:00070562	168 HR Estradiol 0.00417 MG/HR Transdermal Patch [Progynova TS Forte]	DRON:00037936	151289
DRON:00070563	diclofenac sodium 75 MG Extended Release Oral Tablet [Volsaid Retard]	DRON:00058982	151290
DRON:00070564	diclofenac sodium 100 MG Extended Release Oral Tablet [Volsaid Retard]	DRON:00058718	151291
DRON:00070565	atenolol 50 MG Oral Tablet [Tenormin]	DRON:00035331	152414
DRON:00070566	sulpiride 400 MG Oral Tablet [Dogmatil]	DRON:00035219	152541
DRON:00070567	aceclofenac 100 MG Oral Tablet [Preservex]	DRON:00035220	152542
DRON:00070568	24 HR diltiazem hydrochloride 200 MG Extended Release Oral Capsule [Tildiem LA]	DRON:00057790	152543
DRON:00070569	alprostadil 0.01 MG Injection [Caverject]	DRON:00038360	152571
DRON:00070570	aspirin 75 MG Delayed Release Oral Tablet [Caprin]	DRON:00034547	152575
DRON:00070571	Albuterol 0.2 MG/ACTUAT Inhalant Powder [Ventolin Acculaher]	DRON:00043707	152581
DRON:00070572	ibuprofen 200 MG Oral Tablet [Inoven]	DRON:00045170	152582
DRON:00070573	raltitrexed 0.5 MG/ML Injectable Solution [Tomudex]	DRON:00040884	152584
DRON:00070574	morphine sulfate 50 MG Oral Tablet [Sevredol]	DRON:00060192	152585
DRON:00070575	Human normal immunoglobulin 50 MG/ML Injectable Solution [Vigam-S]	DRON:00053850	152590
DRON:00070576	insulin isophane, pork 70 UNT/ML / insulin, regular, pork 30 UNT/ML Injectable Suspension [Pork Mixtard 30]	DRON:00047482	152598
DRON:00070577	insulin isophane, pork 100 UNT/ML Injectable Suspension [Pork Insulatard]	DRON:00045194	152599
DRON:00070578	levocabastine 0.5 MG/ML Nasal Spray [Livostin]	DRON:00036749	152600
DRON:00070579	24 HR Nifedipine 30 MG Extended Release Tablet [Unipine XL]	DRON:00035761	152601
DRON:00070580	insulin, regular, pork 100 UNT/ML Injectable Solution [Pork Actrapid]	DRON:00045199	152602
DRON:00070581	tinzaparin 1000 UNT/ML Injectable Solution [Innohep]	DRON:00035222	152607
DRON:00070582	certoparin 6000 UNT/ML Injectable Solution [Alphaparin]	DRON:00035223	152619
DRON:00070583	granisetron 1 MG/ML Injectable Solution [Kytril]	DRON:00038204	152625
DRON:00070584	terfenadine 120 MG Oral Tablet [Antihistamine Forte]	DRON:00036975	152652
DRON:00070585	cephalexin 500 MG Oral Tablet [Kiflone]	DRON:00035385	152653
DRON:00070586	cephalexin 250 MG Oral Capsule [Kiflone]	DRON:00044384	152654
DRON:00070587	cephalexin 500 MG Oral Capsule [Kiflone]	DRON:00044386	152655
DRON:00070588	terfenadine 120 MG Oral Tablet [Histafen]	DRON:00036975	152658
DRON:00070589	gemfibrozil 300 MG Oral Capsule [Emfib]	DRON:00046675	152659
DRON:00070590	prazosin 0.5 MG Oral Tablet [Kentovace]	DRON:00036968	152660
DRON:00070591	prazosin 1 MG Oral Tablet [Kentovace]	DRON:00036969	152661
DRON:00070592	prazosin 2 MG Oral Tablet [Kentovace]	DRON:00036970	152662
DRON:00070593	prazosin 5 MG Oral Tablet [Kentovace]	DRON:00036971	152663
DRON:00070594	haloperidol 1.5 MG Oral Tablet [Kentace]	DRON:00036641	152666
DRON:00070595	haloperidol 5 MG Oral Tablet [Kentace]	DRON:00045077	152667
DRON:00070596	haloperidol 10 MG Oral Tablet [Kentace]	DRON:00046488	152668
DRON:00070597	haloperidol 20 MG Oral Tablet [Kentace]	DRON:00035596	152669
DRON:00070598	84 HR Estradiol 0.00104 MG/HR Transdermal Patch [Estraderm MX 25]	DRON:00040594	152674
DRON:00070599	84 HR Estradiol 0.00208 MG/HR Transdermal Patch [Estraderm MX 50]	DRON:00038413	152675
DRON:00070600	84 HR Estradiol 0.00417 MG/HR Transdermal Patch [Estraderm MX 100]	DRON:00038414	152676
DRON:00070601	sodium tetradecyl sulfate 2 MG/ML Injectable Solution [Fibro-Vein]	DRON:00035054	152690
DRON:00070602	sodium tetradecyl sulfate 5 MG/ML Injectable Solution [Fibro-Vein]	DRON:00034930	152691
DRON:00070603	sodium tetradecyl sulfate 10 MG/ML Injectable Solution [Fibro-Vein]	DRON:00037411	152692
DRON:00070604	sodium tetradecyl sulfate 30 MG/ML Injectable Solution [Fibro-Vein]	DRON:00037412	152693
DRON:00070605	meloxicam 15 MG Rectal Suppository [Mobic]	DRON:00035225	152696
DRON:00070606	meloxicam 7.5 MG Oral Tablet [Mobic]	DRON:00045376	152697
DRON:00070607	meloxicam 15 MG Oral Tablet [Mobic]	DRON:00035226	152698
DRON:00070608	terfenadine 30 MG Oral Tablet [Terfenor]	DRON:00035227	152706
DRON:00070609	terfenadine 120 MG Oral Tablet [Terfenor Forte]	DRON:00036975	152708
DRON:00070610	xylometazoline hydrochloride 1 MG/ML Nasal Spray [Nazo-Mist]	DRON:00036354	152711
DRON:00070611	clotrimazole 10 MG/ML Topical Cream [Canesten AF]	DRON:00044511	152714
DRON:00070612	terfenadine 60 MG Oral Tablet [Antihistamine brand of terfenadine]	DRON:00035089	152716
DRON:00070613	methadone hydrochloride 20 MG/ML Oral Solution [Methadose]	DRON:00059492	152717
DRON:00070614	Tamsulosin hydrochloride 0.4 MG Extended Release Capsule [Flomax MR]	DRON:00059433	152719
DRON:00070615	Isosorbide Mononitrate 60 MG Extended Release Capsule [Angeze SR]	DRON:00040783	152721
DRON:00070616	selegiline hydrochloride 5 MG Oral Tablet [Centrapryl]	DRON:00059123	152723
DRON:00070617	selegiline hydrochloride 10 MG Oral Tablet [Centrapryl]	DRON:00059520	152724
DRON:00070618	verapamil hydrochloride 40 MG Oral Tablet [Hypaneze]	DRON:00060597	152725
DRON:00070619	verapamil hydrochloride 80 MG Oral Tablet [Hypaneze]	DRON:00060589	152726
DRON:00070620	verapamil hydrochloride 120 MG Oral Tablet [Hypaneze]	DRON:00060585	152727
DRON:00070621	diclofenac sodium 75 MG Extended Release Oral Tablet [Lofensaid Retard]	DRON:00058982	152728
DRON:00070622	diclofenac sodium 100 MG Extended Release Oral Tablet [Lofensaid Retard]	DRON:00058718	152729
DRON:00070623	12 HR nifedipine 20 MG Extended Release Oral Tablet [Nimodrel MR 20]	DRON:00052867	152730
DRON:00070624	12 HR nifedipine 10 MG Extended Release Oral Tablet [Nimodrel MR 10]	DRON:00040672	152731
DRON:00070625	amoxicillin 250 MG Oral Capsule [Zoxycil]	DRON:00043898	152732
DRON:00070626	amoxicillin 500 MG Oral Capsule [Zoxycil]	DRON:00043902	152733
DRON:00070627	floxacillin 250 MG Oral Capsule [Zoxin]	DRON:00036745	152734
DRON:00070628	floxacillin 500 MG Oral Capsule [Zoxin]	DRON:00036746	152735
DRON:00070629	acyclovir 200 MG Oral Tablet [Virovir]	DRON:00036783	152736
DRON:00070630	acyclovir 400 MG Oral Tablet [Virovir]	DRON:00035299	152737
DRON:00070631	acyclovir 800 MG Oral Tablet [Virovir]	DRON:00035301	152738
DRON:00070632	nystatin 100000 UNT/ML Oral Suspension [Infestat]	DRON:00045603	152739
DRON:00070633	zidovudine 300 MG Oral Tablet [Retrovir]	DRON:00036876	152772
DRON:00070634	Morphine Sulfate 30 MG Extended Release Capsule [MXL brand of morphine sulfate]	DRON:00060014	152779
DRON:00070635	Morphine Sulfate 60 MG Extended Release Capsule [MXL brand of morphine sulfate]	DRON:00060017	152780
DRON:00070636	Morphine Sulfate 90 MG Extended Release Capsule [MXL brand of morphine sulfate]	DRON:00060019	152781
DRON:00070637	Morphine Sulfate 120 MG Extended Release Capsule [MXL brand of morphine sulfate]	DRON:00060003	152782
DRON:00070638	Morphine 150 MG Extended Release Capsule [MXL brand of morphine sulfate]	DRON:00053851	152783
DRON:00070639	Morphine Sulfate 200 MG Extended Release Capsule [MXL brand of morphine sulfate]	DRON:00060061	152784
DRON:00070640	mesalamine 33.9 MG/ML Enema [Canasa]	DRON:00035229	152788
DRON:00070641	follitropin alfa 300 UNT/ML Injectable Solution [Gonal F]	DRON:00044950	152792
DRON:00070642	ibuprofen 0.05 MG/MG Topical Gel [fenbid]	DRON:00035115	152795
DRON:00070643	granisetron 2 MG Oral Tablet [Kytril]	DRON:00041437	152797
DRON:00070644	amiloride 5 MG/ML Oral Solution [Amilamont]	DRON:00053853	152799
DRON:00070645	24 HR nifedipine 40 MG Extended Release Oral Tablet [Angiopine 40 LA]	DRON:00041350	152801
DRON:00070646	12 HR Diltiazem 90 MG Extended Release Tablet [Angiozem CR]	DRON:00039692	152802
DRON:00070647	12 HR Diltiazem 120 MG Extended Release Tablet [Angiozem CR]	DRON:00039779	152803
DRON:00070648	terfenadine 120 MG Oral Tablet [Terfinax]	DRON:00036975	152804
DRON:00070649	interferon alfa-n1 5000000 UNT/ML Injectable Solution [Wellferon]	DRON:00035231	152807
DRON:00070650	loperamide hydrochloride 2 MG Oral Tablet [Normaloe]	DRON:00061788	152813
DRON:00070651	isosorbide mononitrate 60 MG Extended Release Oral Tablet [Ketanodur]	DRON:00045260	152839
DRON:00070652	itraconazole 10 MG/ML Oral Solution [Sporanox]	DRON:00047139	152854
DRON:00070653	topiramate 25 MG Oral Tablet [Topamax]	DRON:00037036	152855
DRON:00070654	cromolyn sodium 20 MG/ML Ophthalmic Solution [Hay-Crom Hay Fever]	DRON:00053840	152856
DRON:00070655	ketoprofen 200 MG Extended Release Oral Capsule [Ketotard]	DRON:00046498	152875
DRON:00070656	toremifene 60 MG Oral Tablet [Fareston]	DRON:00046237	152880
DRON:00070657	sertindole 4 MG Oral Tablet [Serdolect]	DRON:00035234	152890
DRON:00070658	sertindole 12 MG Oral Tablet [Serdolect]	DRON:00035235	152891
DRON:00070659	sertindole 16 MG Oral Tablet [Serdolect]	DRON:00035236	152892
DRON:00070660	sertindole 20 MG Oral Tablet [Serdolect]	DRON:00035237	152893
DRON:00070661	pilocarpine hydrochloride 0.04 MG/MG Ophthalmic Gel [Pilogel]	DRON:00062558	152904
DRON:00070662	12 HR nifedipine 10 MG Extended Release Oral Tablet [Cardilate MR]	DRON:00040672	152906
DRON:00070663	12 HR nifedipine 10 MG Extended Release Oral Tablet [Tensipine MR 10]	DRON:00040672	152908
DRON:00070664	12 HR nifedipine 20 MG Extended Release Oral Tablet [Tensipine MR 20]	DRON:00052867	152909
DRON:00070665	zopiclone 3.75 MG Oral Tablet [Zimovane]	DRON:00035238	152912
DRON:00070666	riluzole 50 MG Oral Tablet [Rilutek]	DRON:00036558	152915
DRON:00070667	timolol 0.0025 MG/MG Ophthalmic Gel [Timoptol LA]	DRON:00046222	152919
DRON:00070668	timolol 0.005 MG/MG Ophthalmic Gel [Timoptol LA]	DRON:00046223	152920
DRON:00070669	simvastatin 40 MG Oral Tablet [Zocor]	DRON:00035868	152923
DRON:00070670	fosfestrol 120 MG Oral Tablet [Honvan]	DRON:00035240	152930
DRON:00070671	lamivudine 150 MG Oral Tablet [Epivir]	DRON:00036512	152931
DRON:00070672	lamivudine 10 MG/ML Oral Solution [Epivir]	DRON:00036513	152932
DRON:00070673	24 HR felodipine 2.5 MG Extended Release Oral Tablet [Plendil]	DRON:00047997	152933
DRON:00070674	24 HR Testosterone 0.104 MG/HR Transdermal Patch [Andropatch]	DRON:00036493	152934
DRON:00070675	nisoldipine 10 MG Extended Release Oral Tablet [Syscor MR]	DRON:00053854	152936
DRON:00070676	clotrimazole 0.01 MG/MG Topical Powder [Canesten AF]	DRON:00043100	152939
DRON:00070677	stavudine 15 MG Oral Capsule [Zerit]	DRON:00046066	152941
DRON:00070678	stavudine 20 MG Oral Capsule [Zerit]	DRON:00046067	152942
DRON:00070679	stavudine 30 MG Oral Capsule [Zerit]	DRON:00046068	152943
DRON:00070680	stavudine 40 MG Oral Capsule [Zerit]	DRON:00046069	152944
DRON:00070681	ropinirole 0.25 MG Oral Tablet [Requip]	DRON:00045951	152952
DRON:00070682	ropinirole 1 MG Oral Tablet [Requip]	DRON:00046558	152953
DRON:00070683	ropinirole 2 MG Oral Tablet [Requip]	DRON:00045953	152954
DRON:00070684	ropinirole 5 MG Oral Tablet [Requip]	DRON:00045954	152955
DRON:00070685	trimetrexate 12.5 MG/ML Injectable Solution [Neutrexin]	DRON:00038191	152960
DRON:00070686	tramadol hydrochloride 50 MG Oral Tablet [Zydol]	DRON:00057863	152961
DRON:00070687	Somatropin 4 MG/ML Injectable Solution [Humatrope]	DRON:00046057	152963
DRON:00070688	Somatropin 8 MG/ML Injectable Solution [Humatrope]	DRON:00040501	152964
DRON:00070689	moxonidine 0.2 MG Oral Tablet [Physiotens]	DRON:00041447	152966
DRON:00070690	moxonidine 0.4 MG Oral Tablet [Physiotens]	DRON:00041446	152967
DRON:00070691	Benzoyl Peroxide 50 MG/ML Topical Cream [PanOxyl]	DRON:00044140	152969
DRON:00070692	ritonavir 100 MG Oral Capsule [Norvir]	DRON:00046786	152970
DRON:00070693	ritonavir 80 MG/ML Oral Solution [Norvir]	DRON:00036593	152971
DRON:00070694	anthralin 30 MG/ML Topical Cream [Micanol]	DRON:00041820	152972
DRON:00070695	hydrogen peroxide 10 MG/ML Topical Cream [Crystacide]	DRON:00035241	152974
DRON:00070696	famciclovir 750 MG Oral Tablet [Famvir]	DRON:00035242	152982
DRON:00070697	Morphine Sulfate 100 MG Extended Release Capsule [Morcap SR]	DRON:00060039	152993
DRON:00070698	Morphine Sulfate 20 MG Extended Release Capsule [Morcap SR]	DRON:00060050	152994
DRON:00070699	Morphine Sulfate 50 MG Extended Release Capsule [Morcap SR]	DRON:00060099	152995
DRON:00070700	amiloride hydrochloride 5 MG / furosemide 40 MG Oral Tablet [Frusemek]	DRON:00061778	153000
DRON:00070701	ibuprofen 200 MG Oral Tablet [Advil]	DRON:00045170	153008
DRON:00070702	Ibuprofen 400 MG Oral Tablet [Advil Extra Strength]	DRON:00035617	153009
DRON:00070703	follitropin beta 100 UNT/ML Injectable Solution [Puregon]	DRON:00047803	153012
DRON:00070704	erythromycin stearate 50 MG/ML Oral Suspension [Erymin]	DRON:00046459	153024
DRON:00070705	tolfenamic acid 200 MG Oral Capsule [Clotam]	DRON:00035245	153034
DRON:00070706	erythromycin 25 MG/ML Oral Suspension [Arpimycin]	DRON:00046458	153036
DRON:00070707	erythromycin stearate 50 MG/ML Oral Suspension [Arpimycin]	DRON:00046459	153037
DRON:00070708	erythromycin 100 MG/ML Oral Suspension [Arpimycin]	DRON:00050868	153038
DRON:00070709	estradiol 1 MG Oral Tablet [Zumenon]	DRON:00035520	153039
DRON:00070710	pantoprazole 40 MG Delayed Release Oral Tablet [Protium brand of pantoprazole sodium]	DRON:00046556	153044
DRON:00070711	olanzapine 5 MG Oral Tablet [Zyprexa]	DRON:00045618	153046
DRON:00070712	olanzapine 7.5 MG Oral Tablet [Zyprexa]	DRON:00045619	153047
DRON:00070713	olanzapine 10 MG Oral Tablet [Zyprexa]	DRON:00046537	153048
DRON:00070714	povidone-iodine 0.005 MG/MG Powder Spray [Savlon Dry]	DRON:00035246	153061
DRON:00070715	Diclofenac Sodium 100 MG Extended Release Tablet [Slofenac SR]	DRON:00058718	153063
DRON:00070716	Diclofenac Sodium 75 MG Extended Release Tablet [Slofenac SR]	DRON:00058982	153064
DRON:00070717	Diclofenac Sodium 100 MG Extended Release Tablet [Digenac XL]	DRON:00058718	153066
DRON:00070718	24 HR Diltiazem Hydrochloride 300 MG Extended Release Capsule [Zemtard XL]	DRON:00057660	153071
DRON:00070719	timolol 2.5 MG/ML Ophthalmic Solution [Glau-Opt]	DRON:00035929	153073
DRON:00070720	timolol 5 MG/ML Ophthalmic Solution [Glau-Opt]	DRON:00046224	153074
DRON:00070721	valsartan 40 MG Oral Capsule [Diovan]	DRON:00035247	153078
DRON:00070722	valsartan 80 MG Oral Capsule [Diovan]	DRON:00037003	153079
DRON:00070723	valsartan 160 MG Oral Capsule [Diovan]	DRON:00037059	153080
DRON:00070724	magnesium aspartate 615 MG Oral Tablet [Magnesiocard]	DRON:00051064	153091
DRON:00070725	glucagon (rDNA) 1 MG Injection [GlucaGen]	DRON:00044992	153095
DRON:00070726	deflazacort 6 MG Oral Tablet [Calcort]	DRON:00035251	153099
DRON:00070727	24 HR nifedipine 40 MG Extended Release Oral Tablet [Fortipine LA40]	DRON:00041350	153103
DRON:00070728	diazepam 4 MG/ML Enema [Diazepam RecTube]	DRON:00050682	153108
DRON:00070729	proparacaine hydrochloride 5 MG/ML Ophthalmic Solution [Minims Proxymetacaine hydrochloride]	DRON:00065637	153109
DRON:00070730	NPH Insulin, Human 50 UNT/ML / Regular Insulin, Human 50 UNT/ML Injectable Suspension [Human Mixtard 50]	DRON:00039094	153122
DRON:00070731	letrozole 2.5 MG Oral Tablet [Femara]	DRON:00037162	153124
DRON:00070732	indinavir 200 MG Oral Capsule [Crixivan]	DRON:00045178	153127
DRON:00070733	indinavir 400 MG Oral Capsule [Crixivan]	DRON:00045180	153128
DRON:00070734	azathioprine 10 MG Oral Tablet [Imuran]	DRON:00035253	153130
DRON:00070735	lofepramine 14 MG/ML Oral Suspension [Lomont]	DRON:00041556	153133
DRON:00070736	naproxen 250 MG Delayed Release Oral Tablet [Timpron 250 EC]	DRON:00034811	153135
DRON:00070737	procyclidine 5 MG Oral Tablet [Muscinil]	DRON:00046542	153142
DRON:00070738	zolpidem tartrate 10 MG Oral Tablet [Stilnoct]	DRON:00058655	153144
DRON:00070739	Isosorbide Mononitrate 60 MG Extended Release Tablet [Modisal XL]	DRON:00045260	153146
DRON:00070740	cefaclor 250 MG Oral Capsule [Keftid]	DRON:00044326	153148
DRON:00070741	cefaclor 500 MG Oral Capsule [Keftid]	DRON:00035380	153149
DRON:00070742	Clarithromycin 500 MG Extended Release Tablet [Klaricid XL]	DRON:00042885	153151
DRON:00070743	latanoprost 0.5 MG/ML Ophthalmic Solution [Xalatan]	DRON:00053857	153158
DRON:00070744	budesonide 0.02 MG/ML Enema [Entocort]	DRON:00035255	153174
DRON:00070745	Doxorubicin 2 MG/ML Injectable Solution [Caelyx]	DRON:00044786	153182
DRON:00070746	adapalene 0.001 MG/MG Topical Gel [Differin]	DRON:00043683	153183
DRON:00070747	Indapamide 1.5 MG Extended Release Tablet [Natrilix SR]	DRON:00041433	153208
DRON:00070748	interferon alfa-2b 6000000 UNT/ML Injectable Solution [Viraferon]	DRON:00037396	153222
DRON:00070749	24 HR nifedipine 20 MG Extended Release Oral Tablet [Adalat LA]	DRON:00052753	153223
DRON:00070750	acyclovir 50 MG/ML Topical Cream [Herpetad Cold Sore]	DRON:00035077	153224
DRON:00070751	diclofenac sodium 75 MG Extended Release Oral Tablet [Diclotard]	DRON:00058982	153227
DRON:00070752	diclofenac sodium 100 MG Extended Release Oral Tablet [Diclotard]	DRON:00058718	153228
DRON:00070753	indomethacin 75 MG Extended Release Oral Capsule [Indotard MR]	DRON:00045182	153240
DRON:00070754	Isosorbide Mononitrate 60 MG Extended Release Tablet [Isotard 60XL]	DRON:00045260	153242
DRON:00070755	hydrotalcite 500 MG Oral Tablet [Altacite]	DRON:00053858	153255
DRON:00070756	dipyridamole 200 MG Extended Release Oral Capsule [Persantin Retard]	DRON:00035259	153257
DRON:00070757	captopril 12.5 MG Oral Tablet [Ecopace]	DRON:00044284	153275
DRON:00070758	captopril 25 MG Oral Tablet [Ecopace]	DRON:00046795	153276
DRON:00070759	captopril 50 MG Oral Tablet [Ecopace]	DRON:00044285	153277
DRON:00070760	piroxicam 0.005 MG/MG Topical Gel [Feldene P]	DRON:00034820	153283
DRON:00070761	84 HR Estradiol 0.00104 MG/HR Transdermal Patch [Dermestril 25]	DRON:00040594	153293
DRON:00070762	84 HR Estradiol 0.00208 MG/HR Transdermal Patch [Dermestril 50]	DRON:00038413	153294
DRON:00070763	84 HR Estradiol 0.00417 MG/HR Transdermal Patch [Dermestril 100]	DRON:00038414	153295
DRON:00070764	Sumatriptan 20 MG/ACTUAT Nasal Spray [Imigran]	DRON:00046566	153297
DRON:00070765	acyclovir 50 MG/ML Topical Cream [Soothelip Cold Sore]	DRON:00035077	153299
DRON:00070766	cerivastatin sodium 0.1 MG Oral Tablet [Baycol]	DRON:00042085	153301
DRON:00070767	cerivastatin sodium 0.2 MG Oral Tablet [Baycol]	DRON:00044392	153302
DRON:00070768	cerivastatin sodium 0.3 MG Oral Tablet [Baycol]	DRON:00044393	153303
DRON:00070769	12 HR nifedipine 20 MG Extended Release Oral Tablet [Nifedotard 20MR]	DRON:00052867	153308
DRON:00070770	captopril 12.5 MG Oral Tablet [Kaplon]	DRON:00044284	153311
DRON:00070771	captopril 25 MG Oral Tablet [Kaplon]	DRON:00046795	153312
DRON:00070772	captopril 50 MG Oral Tablet [Kaplon]	DRON:00044285	153313
DRON:00070773	naproxen 500 MG Delayed Release Oral Tablet [Timpron 500 EC]	DRON:00045519	153315
DRON:00070774	12 HR Nifedipine 20 MG Extended Release Tablet [Slofedipine]	DRON:00052867	153320
DRON:00070775	interferon beta-1a 0.03 MG Injection [Avonex]	DRON:00035260	153324
DRON:00070776	methadone hydrochloride 1 MG/ML Oral Solution [Methex]	DRON:00059464	153325
DRON:00070777	cabergoline 1 MG Oral Tablet [Dostinex]	DRON:00035261	153334
DRON:00070778	cabergoline 2 MG Oral Tablet [Dostinex]	DRON:00035262	153335
DRON:00070779	cabergoline 4 MG Oral Tablet [Dostinex]	DRON:00035263	153336
DRON:00070780	hydromorphone hydrochloride 1.3 MG Oral Capsule [Palladone]	DRON:00060653	153339
DRON:00070781	hydromorphone hydrochloride 2.6 MG Oral Capsule [Palladone]	DRON:00060669	153341
DRON:00070782	fluconazole 150 MG Oral Capsule [Diflucan One]	DRON:00036926	153342
DRON:00070783	Hydromorphone Hydrochloride 2 MG Extended Release Capsule [Palladone-SR]	DRON:00060661	153347
DRON:00070784	Hydromorphone Hydrochloride 4 MG Extended Release Capsule [Palladone-SR]	DRON:00060675	153348
DRON:00070785	Hydromorphone Hydrochloride 8 MG Extended Release Capsule [Palladone-SR]	DRON:00060719	153349
DRON:00070786	zolmitriptan 2.5 MG Oral Tablet [Zomig]	DRON:00037248	153353
DRON:00070787	Azelastine hydrochloride 1 MG/ML Nasal Spray [Rhinolast Hayfever]	DRON:00059578	153360
DRON:00070788	triamcinolone acetonide 0.001 MG/MG Oral Paste [Adcortyl]	DRON:00064139	153364
DRON:00070789	metoclopramide 5 MG Oral Tablet [Maxolon]	DRON:00045469	153366
DRON:00070790	Ketoprofen 200 MG Extended Release Capsule [Jomethid XL]	DRON:00046498	153367
DRON:00070791	verapamil hydrochloride 240 MG Extended Release Oral Tablet [Verapress MR]	DRON:00060580	153369
DRON:00070792	insulin, regular, pork 100 UNT/ML Injectable Solution [Hypurin Porcine Neutral]	DRON:00045199	153383
DRON:00070793	insulin isophane, pork 100 UNT/ML Injectable Suspension [Hypurin Porcine Isophane]	DRON:00045194	153384
DRON:00070794	insulin isophane, pork 70 UNT/ML / insulin, regular, pork 30 UNT/ML Injectable Suspension [Hypurin Porcine Biphasic Isophane]	DRON:00047482	153386
DRON:00070795	insulin isophane, beef 100 UNT/ML Injectable Suspension [Hypurin Bovine Isophane]	DRON:00045193	153389
DRON:00070796	Daunorubicin 5 MG/ML Injectable Solution [Cerubidin]	DRON:00044637	153398
DRON:00070797	ondansetron 16 MG Rectal Suppository [Zofran]	DRON:00041478	153428
DRON:00070798	Paroxetine 2 MG/ML Oral Solution [Seroxat]	DRON:00053859	153430
DRON:00070799	lidocaine hydrochloride 20 MG/ML Injectable Solution [Sure-Amp Lignocaine hydrochloride]	DRON:00046799	153431
DRON:00070800	ciprofloxacin 100 MG Oral Tablet [Ciproxin]	DRON:00036677	153432
DRON:00070801	clotrimazole 10 MG/ML Topical Spray [Canesten AF]	DRON:00047484	153443
DRON:00070802	Estradiol 0.001 MG/MG Topical Gel [Sandrena]	DRON:00035265	153446
DRON:00070803	Diclofenac Sodium 75 MG Extended Release Tablet [Dicloflex SR]	DRON:00058982	153451
DRON:00070804	24 HR Diltiazem Hydrochloride 120 MG Extended Release Capsule [Viazem XL]	DRON:00057663	153454
DRON:00070805	24 HR Diltiazem Hydrochloride 180 MG Extended Release Capsule [Viazem XL]	DRON:00057662	153455
DRON:00070806	24 HR Diltiazem Hydrochloride 240 MG Extended Release Capsule [Viazem XL]	DRON:00057661	153456
DRON:00070807	24 HR Diltiazem Hydrochloride 300 MG Extended Release Capsule [Viazem XL]	DRON:00057660	153457
DRON:00070808	24 HR Diltiazem Hydrochloride 360 MG Extended Release Capsule [Viazem XL]	DRON:00057659	153458
DRON:00070809	captopril 12.5 MG Oral Tablet [Hypapril]	DRON:00044284	153460
DRON:00070810	captopril 25 MG Oral Tablet [Hypapril]	DRON:00046795	153461
DRON:00070811	captopril 50 MG Oral Tablet [Hypapril]	DRON:00044285	153462
DRON:00070812	ranitidine 150 MG Oral Tablet [Raciran]	DRON:00035849	153464
DRON:00070813	ranitidine 300 MG Oral Tablet [Raciran]	DRON:00035851	153465
